reservoir,state,reviewer_note,verdict,why,proposed_name,agreeing_sources,sources_within_1km,gnis_1km,nhd_waterbody_1km,nhd_area_1km,nhd_medium_1km,esri_1km,beyond_1km,claimed_name,dam_1km,dam_beyond_1km
Oroville Dam,CA,Lake Oroville,confirmed,2 sources name it within 1 km; also within 1 km: Thermalito Diversion Pool,Lake Oroville,"nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Thermalito Diversion Pool; Lake Oroville,,Thermalito Diversion Pool; Lake Oroville,Thermalito Diversion Pool,gnis:Sycamore Reservoir,Lake Oroville,,
New Melones Lake,CA,New Melones Lake,confirmed,2 sources name it within 1 km; also within 1 km: Tulloch Reservoir,New Melones Dam,"nhd_area_1km,nhd_medium_1km","esri,nhd_area,nhd_medium",,,New Melones Dam,New Melones Lake,Tulloch Reservoir,gnis:Vermont Bar,New Melones Lake,,
Lake Almanor,CA,Lake Almanor,confirmed,2 sources name it within 1 km,Lake Almanor,"nhd_medium_1km,nhd_waterbody_1km","nhd_medium,nhd_waterbody",,Lake Almanor,,Lake Almanor,,,Lake Almanor,,
Folsom Lake,CA,Folsom Lake - point is wrong on lat . long,point suspect,"no source names it within 1 km; they name Lake Natoma, Negro Bar",Negro Bar,"esri_1km,gnis_1km,nhd_medium_1km,nhd_waterbody_1km","esri,gnis,nhd_medium,nhd_waterbody",Negro Bar,Lake Natoma,,Lake Natoma,Lake Natoma,,Folsom Lake,,Mount Stoneman (CA00009) at 3.15 km; Folsom Right Wing (CA10148) at 3.46 km; Hinkle (CA01192) at 3.51 km
"Lake San Antonio, Monterey Co",CA,San Antonio Lake,confirmed,3 sources name it within 1 km,Lake San Antonio,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Lake San Antonio,,Lake San Antonio,Lake San Antonio,gnis:Lake San Antonio,San Antonio Lake,,
Castaic,CA,Castaic Lake,confirmed,2 sources name it within 1 km; also within 1 km: Castaic Lagoon,Castaic Lake,"nhd_medium_1km,nhd_waterbody_1km","nhd_medium,nhd_waterbody",,Castaic Lagoon; Castaic Lake,,Castaic Lake; Castaic Lagoon,,,Castaic Lake,,
Cherry Valley Dam,CA,Cherry Lake,confirmed,3 sources name it within 1 km,Cherry Lake,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Cherry Lake,,Cherry Lake,Cherry Lake,,Cherry Lake,,
Casitas,CA,Lake Casitas,confirmed,3 sources name it within 1 km,Lake Casitas,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Lake Casitas,,Lake Casitas,Lake Casitas,gnis:Dead Horse Canyon Arm,Lake Casitas,,
Whiskeytown Lake,CA,Whiskeytown Lake,confirmed,3 sources name it within 1 km,Whiskeytown Lake,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Whiskeytown Lake,,Whiskeytown Lake,Whiskeytown Lake,gnis:Paige Bar,Whiskeytown Lake,,
Pardee,CA,Pardee Reservoir,confirmed,"3 sources name it within 1 km; also within 1 km: Camanche Reservoir, South Spillway",Pardee Reservoir,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_area,nhd_medium,nhd_waterbody",,Camanche Reservoir; Pardee Reservoir,South Spillway,Camanche Reservoir; Pardee Reservoir,Pardee Reservoir,gnis:West Portal,Pardee Reservoir,,
Lake Crowley,CA,Crowley Lake - incorrect lat / long,human review,nearest evidence beyond 1 km; nearest dam Long Valley (CA00090) at 1.87 km,,,,,,,,,nhd_waterbody:Lake Crowley; nhd_medium:Lake Crowley; esri:Lake Crowley,Lake Crowley,,Long Valley (CA00090) at 1.87 km
Los Vaqueros Reservoir,CA,Los Vaqueros Reservoir,confirmed by dam position,the dam Los Vaqueros (CA01396) stands 0.19 km from the point; no water source names water within 4 km,,dam_1km,,,,,,,,Los Vaqueros Reservoir,Los Vaqueros (CA01396) at 0.19 km,Marsh Creek (CA00809) at 5.61 km; Dry Creek (CA00811) at 8.11 km; Dyer (CA01491) at 9.82 km
Seven Oaks Dam,CA,Seven Oaks Reservoir,confirmed by dam position,the dam Seven Oaks (CA01530) stands 0.38 km from the point; no water source names water within 1 km,,dam_1km,,,,,,,gnis:Hot Springs,Seven Oaks Reservoir,Seven Oaks (CA01530) at 0.38 km,Crafton Hills (CA01437) at 7.41 km; Yucaipa No. 3 (CA01133) at 8.21 km; Yucaipa No. 2 (CA01132) at 8.44 km
Black Butte,CA,Black Butte Lake,confirmed,3 sources name it within 1 km,Black Butte Lake,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Black Butte Lake,,Black Butte Lake,Black Butte Lake,,Black Butte Lake,,
Courtright (Pg&E),CA,Courtright Reservoir,confirmed,4 sources name it within 1 km,Courtright Reservoir,"esri_1km,nhd_area_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_area,nhd_medium,nhd_waterbody",,Courtright Reservoir,Courtright Dam,Courtright Reservoir,Courtright Reservoir,gnis:Clear Lake,Courtright Reservoir,,
Coyote (Lake Mendocino),CA,Lake Mendocino,confirmed,2 sources name it within 1 km; also within 1 km: Russian River Reservoir,Lake Mendocino,"nhd_medium_1km,nhd_waterbody_1km","gnis,nhd_medium,nhd_waterbody",Russian River Reservoir,Lake Mendocino,,Lake Mendocino,,,Lake Mendocino,,
Hidden Dam (Hensley),CA,Hensley Lake,confirmed,2 sources name it within 1 km; also within 1 km: Hidden Dam,Hensley Lake,"nhd_medium_1km,nhd_waterbody_1km","nhd_area,nhd_medium,nhd_waterbody",,Hensley Lake,Hidden Dam,Hensley Lake,,,Hensley Lake,,
Huntington Lake (Usbr),CA,Huntington Lake,confirmed,3 sources name it within 1 km,Huntington Lake,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Huntington Lake,,Huntington Lake,Huntington Lake,,Huntington Lake,,
Leroy Anderson,CA,Anderson Lake,confirmed,3 sources name it within 1 km,Anderson Lake,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Anderson Lake,,Anderson Lake,Anderson Lake,gnis:Turnbull Learning Academy,Anderson Lake,,
Lake Davis (Dwr),CA,Lake Davis,confirmed,3 sources name it within 1 km,Lake Davis,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Lake Davis,,Lake Davis,Lake Davis,gnis:Jenkins Cove,Lake Davis,,
Scofield,UT,Scofield Reservoir - incorrect lat long,human review,no source within 4 km; nearest dam Scofield Dam (UT10133) at 6.02 km,,,,,,,,,,Scofield,,Scofield Dam (UT10133) at 6.02 km
